iter	Passed	Remaining
0	113	113407
1	127	63523
2	142	47228
3	152	38048
4	156	31072
5	161	26687
6	167	23690
7	172	21398
8	176	19472
9	181	17959
10	185	16698
11	189	15577
12	192	14647
13	195	13785
14	198	13041
15	201	12392
16	204	11811
17	206	11285
18	209	10794
19	211	10351
20	213	9942
21	215	9559
22	216	9206
23	218	8883
24	220	8599
25	222	8323
26	223	8066
27	225	7838
28	227	7619
29	229	7411
30	230	7216
31	233	7049
32	234	6876
33	236	6713
34	238	6565
35	240	6437
36	242	6302
37	243	6170
38	245	6055
39	247	5939
40	249	5826
41	251	5727
42	252	5627
43	254	5528
44	256	5436
45	258	5356
46	259	5271
47	261	5188
48	263	5112
49	265	5042
50	267	4969
51	268	4898
52	270	4833
53	272	4772
54	274	4709
55	275	4647
56	277	4597
57	279	4545
58	281	4489
59	283	4437
60	285	4392
61	287	4342
62	288	4292
63	290	4249
64	292	4207
65	294	4162
66	295	4119
67	297	4080
68	299	4042
69	301	4003
70	302	3963
71	304	3930
72	306	3895
73	308	3860
74	310	3824
75	312	3796
76	314	3766
77	316	3739
78	318	3714
79	320	3686
80	322	3657
81	324	3631
82	326	3605
83	328	3576
84	329	3550
85	332	3528
86	333	3503
87	335	3477
88	337	3453
89	339	3433
90	341	3407
91	342	3382
92	344	3360
93	346	3338
94	348	3315
95	349	3292
96	351	3273
97	353	3253
98	355	3231
99	356	3210
100	358	3192
101	360	3173
102	362	3160
103	364	3144
104	366	3126
105	368	3107
106	370	3088
107	372	3072
108	373	3054
109	375	3036
110	376	3019
111	379	3005
112	380	2988
113	382	2971
114	384	2957
115	386	2943
116	387	2928
117	389	2912
118	391	2899
119	393	2886
120	395	2871
121	396	2856
122	399	2844
123	400	2831
124	402	2816
125	404	2803
126	406	2792
127	407	2779
128	409	2766
129	411	2755
130	413	2744
131	415	2731
132	417	2718
133	419	2708
134	420	2696
135	422	2683
136	424	2673
137	426	2663
138	428	2652
139	429	2640
140	432	2632
141	433	2621
142	435	2610
143	437	2598
144	439	2589
145	440	2578
146	442	2567
147	445	2563
148	447	2553
149	448	2542
150	450	2532
151	452	2523
152	454	2515
153	456	2505
154	457	2496
155	460	2489
156	461	2479
157	463	2470
158	465	2463
159	467	2455
160	469	2446
161	471	2437
162	473	2431
163	475	2423
164	477	2414
165	479	2410
166	481	2403
167	483	2394
168	485	2385
169	487	2380
170	489	2372
171	491	2364
172	493	2358
173	495	2353
174	497	2346
175	500	2341
176	502	2334
177	504	2327
178	506	2322
179	508	2316
180	510	2310
181	512	2305
182	515	2299
183	517	2293
184	519	2287
185	521	2283
186	523	2277
187	526	2273
188	529	2270
189	531	2264
190	533	2260
191	536	2257
192	538	2251
193	541	2247
194	551	2275
195	553	2270
196	555	2266
197	557	2259
198	560	2255
199	562	2250
200	564	2244
201	567	2240
202	569	2234
203	570	2227
204	573	2223
205	576	2222
206	578	2216
207	580	2211
208	583	2206
209	585	2202
210	588	2199
211	590	2193
212	592	2189
213	594	2185
214	596	2179
215	598	2173
216	600	2166
217	602	2160
218	603	2153
219	605	2147
220	607	2141
221	609	2135
222	611	2129
223	612	2123
224	614	2117
225	616	2111
226	617	2104
227	619	2098
228	621	2092
229	623	2086
230	624	2080
231	626	2075
232	629	2070
233	630	2065
234	632	2059
235	634	2055
236	636	2050
237	638	2044
238	640	2040
239	642	2035
240	644	2030
241	646	2025
242	648	2021
243	650	2016
244	652	2011
245	654	2007
246	657	2002
247	658	1997
248	661	1993
249	663	1989
250	665	1984
251	667	1980
252	669	1975
253	670	1970
254	672	1965
255	674	1961
256	676	1956
257	678	1951
258	680	1947
259	682	1943
260	684	1938
261	686	1934
262	688	1929
263	690	1925
264	692	1921
265	694	1916
266	696	1913
267	698	1908
268	701	1905
269	703	1901
270	705	1897
271	707	1893
272	709	1889
273	711	1885
274	713	1881
275	715	1877
276	717	1872
277	719	1868
278	721	1864
279	723	1860
280	725	1855
281	727	1852
282	729	1848
283	731	1844
284	733	1839
285	735	1835
286	737	1831
287	739	1827
288	741	1823
289	743	1819
290	745	1815
291	747	1812
292	749	1808
293	751	1804
294	753	1799
295	755	1795
296	757	1792
297	758	1787
298	761	1784
299	763	1780
300	765	1776
301	767	1773
302	769	1769
303	771	1766
304	773	1762
305	775	1759
306	777	1755
307	779	1751
308	781	1748
309	784	1745
310	786	1741
311	788	1737
312	790	1734
313	791	1730
314	794	1726
315	796	1723
316	798	1719
317	799	1715
318	809	1727
319	811	1724
320	813	1720
321	815	1716
322	817	1714
323	819	1710
324	822	1707
325	824	1703
326	826	1700
327	828	1697
328	830	1694
329	832	1690
330	834	1687
331	836	1684
332	839	1681
333	841	1677
